id,Data,Numero,Subtotal,Percentos,Total,Destino,User,Description
2,05/09/2022,6425,7854.24,"[17, 10]",29801,Armazem Muxara,Saidino,"Carne Nacional , Vorse, Babalaze "
3,05/09/2022,6425,7854.24,"[17, 10]",29801,Armazem Muxara,Saidino,"Carne Nacional , Vorse, Babalaze "
4,05/09/2022,6425,7854.24,"[17, 10]",29801,Armazem Muxara,Saidino,"Carne Nacional , Vorse, Babalaze "
5,05/09/2022,6425,7854.24,"[17, 10]",29801,Armazem Muxara,Saidino,"Carne Nacional , Vorse, Babalaze "
6,05/09/2022,6425,7854.24,"[17, 10]",29801,Armazem Muxara,Saidino,"Carne Nacional , Vorse, Babalaze "
7,05/09/2022,6425,7854.24,"[17, 10]",29801,Armazem Muxara,Saidino,"Carne Nacional , Vorse, Babalaze "
